MaterielShaderData_1.Color,MaterielShaderData_1.Alpha,MaterielShaderData_1.Shinines,MaterielShaderData_1.Specular,MaterielShaderData_1.AmbientLigthe,MaterielShaderData_1.UseTexure
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,1
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,2
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,2
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,3
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,2
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,4
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,5
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,6
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,7
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,8
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,9
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,10
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,11
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,12
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,13
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,14
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,15
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,16
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,17
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,18
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,19
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,20
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,21
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,22
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,23
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,24
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,25
"[1.0000, 1.0000, 1.0000]",1.0000,-2.5000,-3.5000,0.2000,26
